	3.51	17.57
	3.54	19.43
	3.42	15.71
	5.34	13.34
	13.38	1.61
	13.52	7.52
	3.43	5.55
	19.40	3.57
	17.42	19.41
	9.43	1.60
	15.46	13.52
	11.68	1.45
	11.42	11.20
	9.53	15.52
	17.39	11.52
	3.65	11.51
	1.59	19.48
	13.48	15.52
	11.61	13.43
	15.44	17.38
	7.50	7.50
	15.42	15.47
	15.55	5.33
	3.61	9.53
	1.53	3.44
	3.56	13.46
	5.49	19.40
	19.46	11.53
	5.70	17.56
	9.61	7.50
	1.42	13.65
	11.47	7.53
	11.66	3.60
	1.41	11.53
	17.52	7.61
	19.51	9.53
	7.49	13.54
	17.38	3.37
	11.59	19.56
	19.42	13.50
	5.31	3.59
	13.42	17.36
	13.65	9.55
	9.54	19.49
	15.56	11.36
	15.45	19.48
	9.56	13.54
	1.67	17.35
	3.53	1.46
	7.47	9.53
	17.50	5.41
	11.31	9.53
	1.41	7.46
	17.34	13.50
	1.37	1.38
	17.57	15.51
	1.46	15.55
	5.47	15.38
	7.47	19.51
	7.51	1.44
	7.40	3.32
	9.56	17.42
	11.57	15.49
	15.48	9.47
	17.42	1.48
	19.47	7.49
	13.37	19.47
	5.23	9.63
	9.44	9.56
	19.41	17.45
	7.59	17.56
	7.42	11.56
	11.46	5.40
	15.54	7.57
	9.42	3.45
	13.66	3.49
	3.72	7.64
	19.47	1.56
	11.52	17.46
	5.58	11.48
	5.60	1.37
	19.45	5.40
	5.54	5.60
	1.53	9.43
	13.34	11.65
	7.42	15.42
	19.51	15.47
	19.41	19.62
	9.57	5.50
	5.39	7.58
	3.29	3.60
	1.62	5.41
	17.45	17.57
	13.47	5.59
	13.52	13.59
	17.61	9.39
	7.55	5.52
	15.63	3.49
	9.51	11.52
	15.54	1.64
